nodes	props	values
VK (service)	Area served	CIS
VK (service)	Area served	Worldwide; majority of users are in
VK (service)	Available in	90+ languages, including Soviet Russian and Pre-Reformed Russian
VK (service)	Current status	Active
VK (service)	Launched	2006-10-10
VK (service)	Launched	October 10, 2006
VK (service)	Revenue	42,751 million (2016)
VK (service)	Revenue	₽
VK (service)	Website	vk
Vero (app)	Operating system	Android
Vero (app)	Operating system	iOS
Viadeo	Area served	Worldwide
Viadeo	Available in	English
Viadeo	Available in	French
Viadeo	Available in	German
Viadeo	Available in	Italian
Viadeo	Available in	Portuguese
Viadeo	Available in	Russian
Viadeo	Available in	Spanish
Viadeo	Current status	Active
Viadeo	Employees	400
Viadeo	Founded	Paris
Viadeo	Launched	May 2004
Viadeo	Launched	Paris
Viadeo	Type of business	Public
Viadeo	Website	www.viadeo.com
Voldemort (distributed data store)	Available in	English
Voldemort (distributed data store)	Initial release	2009
Voldemort (distributed data store)	License	Apache License
Voldemort (distributed data store)	Type	Distributed data store
Voldemort (distributed data store)	Website	www
Voldemort (distributed data store)	Written in	Java
Wayback Machine	Current status	Active
Wayback Machine	Launched	2001-10-24
Wayback Machine	Launched	October 24, 2001
Wayback Machine	Website	web
Wayback Machine	Written in	Java
Wayback Machine	Written in	NetBeans
Wayback Machine	Written in	Python
Whisper (app)	Headquarters	United States
Whisper (app)	Headquarters	Venice, California
Whisper (app)	Industry	software
Whisper (app)	Website	whisper
Xanga	Launched	1999-04-04
Xanga	Launched	April 4, 1999
Xanga	Website	www
Xbox	Website	www
Yammer	Alexa rank	2,878
Yammer	Founded	2008-09
Yammer	Founded	September 2008
Yammer	Website	www
Zoho Corporation	Area served	Worldwide
Zoho Corporation	Founded	1996
Zoho Corporation	Headquarters	Chennai
Zoho Corporation	Headquarters	India
Zoho Corporation	Headquarters	Tamil Nadu
Zoho Corporation	Industry	software industry
Zoho Corporation	Number of employees	9,000+
Zoho Corporation	Type	Private
Zoho Corporation	Website	zohocorp
iPhone	Operating system	iOS
iPhone	Release date	11
iPhone	Release date	11 Pro / 11 Pro Max
iPhone	Release date	1st gen
iPhone	Release date	2007-06-29
iPhone	Release date	2008-07-11
iPhone	Release date	2009-06-19
iPhone	Release date	2010-06-24
iPhone	Release date	2011-10-14
iPhone	Release date	2012-09-21
iPhone	Release date	2013-09-20
iPhone	Release date	2014-09-19
iPhone	Release date	2015-09-25
iPhone	Release date	2016-03-31
iPhone	Release date	2016-09-16
iPhone	Release date	2017-09-22
iPhone	Release date	2017-11-03
iPhone	Release date	2018-09-21
iPhone	Release date	2018-10-26
iPhone	Release date	2019-09-20
iPhone	Release date	3G
iPhone	Release date	3GS
iPhone	Release date	4
iPhone	Release date	4S
iPhone	Release date	5
iPhone	Release date	5C
iPhone	Release date	5S
iPhone	Release date	6 / 6 Plus
iPhone	Release date	6S / 6S Plus
iPhone	Release date	7 / 7 Plus
iPhone	Release date	8 / 8 Plus
iPhone	Release date	June 29, 2007
iPhone	Release date	SE
iPhone	Release date	X
iPhone	Release date	XR
iPhone	Release date	XS / XS Max
iPhone	Type	Smartphone
iPhone	Website	apple
iWiW	Current status	Closed.
iWiW	Launched	2002
iWiW	Website	iwiw
identi.ca	License	Apache Licence 2.0
identi.ca	Website	identi
issuu	Available in	30 languages
issuu	Current status	Active
issuu	Launched	December 2007
issuu	Website	https://issuu.com
